R7,1月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
11,豚骨ラーメン,,,3,1,,2,0,,,2,1,1,2,,,,
12,豚骨ラーメン（大盛）,,,4,2,,4,1,,,1,2,4,2,,,,
13,チャーシュー醤油,,,0,1,,0,0,,,0,0,1,0,,,,
14,チャーシュー豚骨,,,0,1,,0,0,,,0,0,0,0,,,,
15,ラーメンセットミニ炒飯醤油,,,0,0,,0,5,,,0,0,0,5,,,,
16,ラーメンセットミニ炒飯豚骨,,,0,0,,0,4,,,0,0,0,5,,,,
17,かけうどん,,,3,0,,3,6,,,4,5,1,6,,,,
18,天ぷらうどん,,,0,1,,3,5,,,0,0,2,3,,,,
19,カレーうどん,,,3,0,,4,0,,,0,2,3,1,,,,
20,肉うどん,,,12,16,,9,5,,,8,7,3,8,,,,
21,うどんセット,,,2,2,,7,6,,,1,1,1,5,,,,
23,ラーメンセットミニカレー醤油,,,6,4,,6,1,,,1,2,2,0,,,,
24,ラーメンセットミニカレー豚骨,,,1,3,,6,1,,,2,0,2,0,,,,
25,かけそば,,,0,2,,0,0,,,1,0,0,1,,,,
26,天ぷらそば,,,0,1,,3,0,,,0,0,0,1,,,,
27,カレーそば,,,0,0,,0,0,,,0,0,0,0,,,,
28,肉そば,,,1,3,,1,3,,,1,2,2,2,,,,
29,そばセット,,,0,0,,1,0,,,0,0,0,2,,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,0,51,60,0,75,71,0,0,46,68,57,77,0,0,0,
,,,,,,,,,,,,,,,,,,
R7,3月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
,,月,火,水,木,金,土,日,月,火,水,木,金,土,月,火,,
1,日替定食,✕,31,✕,,,,,,,,,,,,,,
2,日替丼,20,✕,✕,,,,,,,,,,,,,,
4,カレー,4,1,4,,,,,,,,,,,,,,
5,カツカレー,✕,15,0,,,,,,,,,,,,,,
6,ハヤシライス,✕,✕,0,,,,,,,,,,,,,,
8,やきめし,✕,✕,0,,,,,,,,,,,,,,
9,醤油ラーメン,1,1,6,,,,,,,,,,,,,,
10,醤油ラーメン（大盛）,4,2,9,,,,,,,,,,,,,,
11,豚骨ラーメン,1,0,5,,,,,,,,,,,,,,
12,豚骨ラーメン（大盛）,1,4,11,,,,,,,,,,,,,,
13,チャーシュー醤油,0,1,1,,,,,,,,,,,,,,
14,チャーシュー豚骨,0,0,1,,,,,,,,,,,,,,
15,ラーメンセットミニ炒飯醤油,0,0,0,,,,,,,,,,,,,,
16,ラーメンセットミニ炒飯豚骨,0,0,0,,,,,,,,,,,,,,
17,かけうどん,1,2,3,,,,,,,,,,,,,,
18,天ぷらうどん,2,2,3,,,,,,,,,,,,,,
19,カレーうどん,2,2,2,,,,,,,,,,,,,,
20,肉うどん,5,8,10,,,,,,,,,,,,,,
21,うどんセット,0,1,1,,,,,,,,,,,,,,
23,ラーメンセットミニカレー醤油,5,4,1,,,,,,,,,,,,,,
24,ラーメンセットミニカレー豚骨,4,5,7,,,,,,,,,,,,,,
25,かけそば,0,0,0,,,,,,,,,,,,,,
26,天ぷらそば,0,1,0,,,,,,,,,,,,,,
27,カレーそば,0,0,0,,,,,,,,,,,,,,
28,肉そば,1,1,2,,,,,,,,,,,,,,
29,そばセット,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,51,81,67,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
R7,4月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
